id,title,price,currency,location,condition,brand,date_posted,url,scraped_at
1401,Samsung Galaxy S23 256GB 8GB RAM 5G (Used),75000,LKR,Colombo,Used,Samsung,N/A,https://ikman.lk/en/ad/samsung-galaxy-s23-256gb-8gb-ram-5g-used-for-sale-colombo-2,2026-02-21 02:40:00
1402,Google Pixel 6 8GB 128GB (Used),44990,LKR,Colombo,Used,Google,N/A,https://ikman.lk/en/ad/google-pixel-6-8gb-128gb-used-for-sale-colombo-880,2026-02-21 02:40:00
1403,Samsung Galaxy S24 FE 5G Fullset (Used),99900,LKR,Kandy,Used,Samsung,,https://ikman.lk/en/ad/samsung-galaxy-s24-fe-5g-fullset-used-for-sale-kandy-43,2026-02-21 02:40:00
1404,Honor 400 Pro (Brand New),165000,LKR,Colombo,Brand New,Honor,15 hours,https://ikman.lk/en/ad/honor-400-pro-12512-brand-new-for-sale-colombo,2026-02-21 02:40:00
1405,Apple iPhone 12 Pro 128GB (Used),82000,LKR,Colombo,Used,Apple,15 hours,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-used-for-sale-colombo-5619,2026-02-21 02:40:00
1406,Samsung Galaxy A07 6GB|128GB|Android (Brand New),36990,LKR,Colombo,Brand New,Samsung,15 hours,https://ikman.lk/en/ad/samsung-galaxy-a07-6gb128gbandroid-brand-new-for-sale-colombo-2,2026-02-21 02:40:00
1407,Google Pixel 10 12GB|256GB|5G (Brand New),220990,LKR,Colombo,Brand New,Google,15 hours,https://ikman.lk/en/ad/google-pixel-10-12gb256gb5g-brand-new-for-sale-colombo,2026-02-21 02:40:00
1408,Apple iPhone XS Max (Used),55000,LKR,Gampaha,Used,Apple,15 hours,https://ikman.lk/en/ad/apple-iphone-xs-max-used-for-sale-gampaha-2056,2026-02-21 02:40:00
1409,Oppo A79 (Brand New),42000,LKR,Kandy,Brand New,Oppo,15 hours,https://ikman.lk/en/ad/oppo-brand-new-for-sale-kandy-1,2026-02-21 02:40:00
1410,Apple iPhone 11 Pro Max 256GB (Used),92999,LKR,Colombo,Used,Apple,15 hours,https://ikman.lk/en/ad/apple-iphone-11-pro-max-256gb-used-for-sale-colombo-6473,2026-02-21 02:40:00
1411,Apple iPhone 14 Pro 256GB (Used),173000,LKR,Colombo,Used,Apple,15 hours,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-used-for-sale-colombo-3246,2026-02-21 02:40:00
1412,Xiaomi Redmi 15C 5G (Brand New),47490,LKR,Colombo,Brand New,Xiaomi,15 hours,https://ikman.lk/en/ad/xiaomi-redmi-15c-5g-brand-new-for-sale-colombo-19,2026-02-21 02:40:00
