id,title,price,currency,location,condition,brand,date_posted,url,scraped_at
3601,ZTE Blade A55 (Used),24000,LKR,Gampaha,Used,ZTE,2 days,https://ikman.lk/en/ad/zte-blade-a55-used-like-brand-new-used-for-sale-gampaha,2026-02-21 02:44:45
3602,Google Pixel 6 Pro (Used),45000,LKR,Polonnaruwa,Used,Google,2 days,https://ikman.lk/en/ad/google-pixel-6-pro-used-for-sale-polonnaruwa-2,2026-02-21 02:44:45
3603,LG Stylo 4 (Used),10000,LKR,Gampaha,Used,LG,2 days,https://ikman.lk/en/ad/lg-stylo-4-used-for-sale-gampaha,2026-02-21 02:44:45
3604,Honor X9c (Used),80000,LKR,Anuradhapura,Used,Honor,2 days,https://ikman.lk/en/ad/honor-x9c-honar-used-for-sale-anuradhapura-4,2026-02-21 02:44:45
3605,Infinix Hot 60 Pro+ 256GB 8GBRam 50MP (Brand New),26000,LKR,Colombo,Brand New,Infinix,2 days,https://ikman.lk/en/ad/infinix-hot-60-pro-256gb-8gbram-50mp-brand-new-for-sale-colombo-11,2026-02-21 02:44:45
3606,Samsung Galaxy A07 (Brand New),38500,LKR,Kandy,Brand New,Samsung,2 days,https://ikman.lk/en/ad/samsung-galaxy-a07-brand-new-for-sale-kandy-46,2026-02-21 02:44:45
3607,KIESLECT GS PRO CALLING SMART WATCH,6990,LKR,Colombo,Unknown,Other,2 days,https://ikman.lk/en/ad/kieslect-gs-pro-calling-smart-watch-for-sale-colombo-1,2026-02-21 02:44:45
3608,Oppo F29 5G (Used),48000,LKR,Jaffna,Used,Oppo,2 days,https://ikman.lk/en/ad/oppo-f29-5g-used-for-sale-jaffna-3,2026-02-21 02:44:45
3609,Tecno camon 40 (Used),49990,LKR,Gampaha,Used,Tecno,2 days,https://ikman.lk/en/ad/tecno-camon-40-used-for-sale-gampaha-11,2026-02-21 02:44:45
3610,Google Pixel 8 Pro 5G 128GB Pocelain (Used),124990,LKR,Colombo,Used,Google,2 days,https://ikman.lk/en/ad/google-pixel-8-pro-5g-128gb-pocelain-used-for-sale-colombo,2026-02-21 02:44:45
3611,KIESLECT CALL GT CALLING SMART WATCH,4950,LKR,Colombo,Unknown,Other,2 days,https://ikman.lk/en/ad/kieslect-call-gt-calling-smart-watch-for-sale-colombo-1,2026-02-21 02:44:45
3612,Lebest L2 (Used),11500,LKR,Matale,Used,Other,2 days,https://ikman.lk/en/ad/lebest-l2-used-for-sale-matale,2026-02-21 02:44:45
3613,OnePlus Nord CE 3 Lite 256GB 12GB RAM 5G (Brand New),35000,LKR,Colombo,Brand New,OnePlus,N/A,https://ikman.lk/en/ad/oneplus-nord-ce-3-lite-256gb-12gb-ram-5g-brand-new-for-sale-colombo-3,2026-02-21 02:44:49
3614,Xiaomi Mi 11X 12GB 128GB (Used),37000,LKR,Puttalam,Used,Xiaomi,N/A,https://ikman.lk/en/ad/xiaomi-mi-11x-12gb-128gb-used-for-sale-puttalam,2026-02-21 02:44:49
3615,Apple iPhone 14 Pro 128|256gb fullset (Used),162900,LKR,Gampaha,Used,Apple,,https://ikman.lk/en/ad/apple-iphone-14-pro-128256gb-fullset-used-for-sale-gampaha,2026-02-21 02:44:49
3616,Kieslect Lora Calling Smart Watch,7990,LKR,Colombo,Unknown,Other,2 days,https://ikman.lk/en/ad/kieslect-lora-calling-smart-watch-for-sale-colombo-2,2026-02-21 02:44:49
3617,KIESLECT PURA P1 CALLING SMART WATCH,15990,LKR,Colombo,Unknown,Other,2 days,https://ikman.lk/en/ad/kieslect-pura-p1-calling-smart-watch-for-sale-colombo,2026-02-21 02:44:49
3618,Samsung Galaxy S25 Ultra 12GB|256GB (Brand New),282000,LKR,Colombo,Brand New,Samsung,2 days,https://ikman.lk/en/ad/samsung-galaxy-s25-ultra-12gb256gb-brand-new-for-sale-colombo-53,2026-02-21 02:44:49
3619,ZTE Blade A5 64GB (Used),14000,LKR,Batticaloa,Used,ZTE,2 days,https://ikman.lk/en/ad/zte-blade-a5-64gb-used-for-sale-batticaloa,2026-02-21 02:44:49
3620,KIESLECT KS 3 CALLING SMART WATCH,25490,LKR,Colombo,Unknown,Other,2 days,https://ikman.lk/en/ad/kieslect-ks-3-calling-smart-watch-for-sale-colombo,2026-02-21 02:44:49
3621,Apple iPhone 13 Pro Max 256GB (Used),159999,LKR,Colombo,Used,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-13-pro-max-256gb-used-for-sale-colombo-4947,2026-02-21 02:44:49
3622,Apple iPhone 12 Pro 256GB (Used),105000,LKR,Kalutara,Used,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-kalutara-624,2026-02-21 02:44:49
3623,Apple iPhone 15 128GB (Brand New),185500,LKR,Colombo,Brand New,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-15-128gb-brand-new-for-sale-colombo-945,2026-02-21 02:44:49
3624,Xiaomi Redmi 15C (Brand New),46000,LKR,Trincomalee,Brand New,Xiaomi,2 days,https://ikman.lk/en/ad/xiaomi-redmi-15c-brand-new-for-sale-trincomalee-2,2026-02-21 02:44:49
3625,Apple iPhone 16 Plus (Used),210500,LKR,Gampaha,Used,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-16-plus-used-for-sale-gampaha-11,2026-02-21 02:44:49
3626,Apple iPhone 13 mini 256GB (Used),94999,LKR,Colombo,Used,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-13-mini-256gb-used-for-sale-colombo-301,2026-02-21 02:44:49
3627,Apple iPhone 16 Plus (Used),210500,LKR,Colombo,Used,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-16-plus-used-for-sale-colombo-46,2026-02-21 02:44:49
3628,Kieslect Balancs,15490,LKR,Colombo,Unknown,Other,2 days,https://ikman.lk/en/ad/kieslect-balancs-for-sale-colombo-1,2026-02-21 02:44:49
3629,KIESLECT BLANCS SMART WATCH,14790,LKR,Colombo,Unknown,Other,2 days,https://ikman.lk/en/ad/kieslect-blancs-smart-watch-for-sale-colombo,2026-02-21 02:44:49
3630,Apple iPhone 16 Plus (Used),210500,LKR,Colombo,Used,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-16-plus-used-for-sale-colombo-45,2026-02-21 02:44:49
3631,KIESLECT ACTOR CALLING SMART WATCH,32990,LKR,Colombo,Unknown,Other,2 days,https://ikman.lk/en/ad/kieslect-actor-calling-smart-watch-for-sale-colombo,2026-02-21 02:44:49
3632,Tecno Camon 40 Pro (Used),49990,LKR,Gampaha,Used,Tecno,2 days,https://ikman.lk/en/ad/tecno-camon-40-pro-used-for-sale-gampaha-4,2026-02-21 02:44:49
3633,Xiaomi Redmi A5 (Brand New),29500,LKR,Trincomalee,Brand New,Xiaomi,2 days,https://ikman.lk/en/ad/xiaomi-redmi-a5-brand-new-for-sale-trincomalee-2,2026-02-21 02:44:49
3634,Apple iPhone 14 128GB (Brand New),165000,LKR,Colombo,Brand New,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-14-128gb-brand-new-for-sale-colombo-707,2026-02-21 02:44:49
3635,Apple iPhone 16 Plus (Used),210500,LKR,Gampaha,Used,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-16-plus-used-for-sale-gampaha-10,2026-02-21 02:44:49
3636,Apple iPhone 16 Plus (Used),210500,LKR,Colombo,Used,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-16-plus-used-for-sale-colombo-44,2026-02-21 02:44:49
3637,Moto 4GB 64GB (Used),22990,LKR,Gampaha,Used,Other,2 days,https://ikman.lk/en/ad/moto-4gb-64gb-used-for-sale-gampaha,2026-02-21 02:44:49
3638,Samsung Galaxy A03s (Used),30000,LKR,Gampaha,Used,Samsung,2 days,https://ikman.lk/en/ad/samsung-galaxy-a03s-used-for-sale-gampaha-1056,2026-02-21 02:44:49
3639,HainoTeko Air 6,6490,LKR,Colombo,Unknown,Other,2 days,https://ikman.lk/en/ad/hainoteko-air-6-for-sale-colombo,2026-02-21 02:44:49
3640,Apple iPhone 16 Plus (Used),210500,LKR,Gampaha,Used,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-16-plus-used-for-sale-gampaha-9,2026-02-21 02:44:49
3641,Google Pixel 6 8GB 128GB (Used),44990,LKR,Colombo,Used,Google,N/A,https://ikman.lk/en/ad/google-pixel-6-8gb-128gb-used-for-sale-colombo-880,2026-02-21 02:44:52
3642,Samsung Galaxy Z Fold 6 20GB|512GB (Used),199999,LKR,Kegalle,Used,Samsung,N/A,https://ikman.lk/en/ad/samsung-galaxy-z-fold-6-20gb512gb-used-for-sale-kegalle,2026-02-21 02:44:52
3643,Apple iPhone 12 Pro 512GB (Used),84999,LKR,Kalutara,Used,Apple,,https://ikman.lk/en/ad/apple-iphone-12-pro-512gb-used-for-sale-kalutara-70,2026-02-21 02:44:52
