id,title,price,currency,location,condition,brand,date_posted,url,scraped_at
15601,Realme 14 pro+256GB 12GB 5G (Brand New),55000,LKR,Colombo,Brand New,Realme,N/A,https://ikman.lk/en/ad/realme-14-pro256gb-12gb-5g-brand-new-for-sale-colombo-1,2026-02-21 10:16:20
15602,Airpods 4 ANC,49998,LKR,Colombo,Unknown,Other,N/A,https://ikman.lk/en/ad/airpods-4-anc-for-sale-colombo-92,2026-02-21 10:16:20
15603,Vivo Y17 8GB/256GB_~~ (Used),11990,LKR,Colombo,Used,Vivo,,https://ikman.lk/en/ad/vivo-y17-8gb-256gb-used-for-sale-colombo-4285,2026-02-21 10:16:20
15604,Apple iPhone 15 Plus 128GB (Used),159900,LKR,Kandy,Used,Apple,just now,https://ikman.lk/en/ad/apple-iphone-15-plus-128gb-used-for-sale-kandy-68,2026-02-21 10:16:20
15605,HMD Pulse Pro (Used),48000,LKR,Ratnapura,Used,Other,just now,https://ikman.lk/en/ad/nokia-14-hmd-used-for-sale-ratnapura,2026-02-21 10:16:20
15606,Samsung Galaxy F07 4GB/64GB|02 (Brand New),29490,LKR,Colombo,Brand New,Samsung,1 minute,https://ikman.lk/en/ad/samsung-galaxy-f07-4gb-64gb02-brand-new-for-sale-colombo,2026-02-21 10:16:20
15607,Apple iPhone 12 Pro 256GB (Used),90000,LKR,Gampaha,Used,Apple,1 minute,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-gampaha-8869,2026-02-21 10:16:20
15608,Apple iPhone 7 (Used),10000,LKR,Monaragala,Used,Apple,1 minute,https://ikman.lk/en/ad/apple-iphone-7-0757259191-used-for-sale-monaragala,2026-02-21 10:16:20
15609,Realme 6i 6GB 128GB (Used),8000,LKR,Gampaha,Used,Realme,1 minute,https://ikman.lk/en/ad/realme-6i-6gb-128gb-used-for-sale-gampaha,2026-02-21 10:16:20
15610,Huawei P60 PRO 12/256GB (Used),125000,LKR,Colombo,Used,Huawei,1 minute,https://ikman.lk/en/ad/huawei-p60-pro-12-256gb-used-for-sale-colombo-2,2026-02-21 10:16:20
15611,Apple iPhone 14 Pro (Used),176500,LKR,Kandy,Used,Apple,2 minutes,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-kandy-422,2026-02-21 10:16:20
15612,Apple iPhone 15 15/128GB. (Used),154999,LKR,Colombo,Used,Apple,2 minutes,https://ikman.lk/en/ad/apple-iphone-15-15-128gb-used-for-sale-colombo-48,2026-02-21 10:16:20
15613,Apple iPhone 11 Pro Max 256 GB (Used),45000,LKR,Gampaha,Used,Apple,2 minutes,https://ikman.lk/en/ad/apple-iphone-11-pro-max-256-gb-used-for-sale-gampaha-235,2026-02-21 10:16:20
15614,Apple iPhone 12 Pro 256GB (Used),102000,LKR,Galle,Used,Apple,2 minutes,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-galle-381,2026-02-21 10:16:20
15615,Samsung Galaxy A06 4GB/64GB|02 (Brand New),29490,LKR,Colombo,Brand New,Samsung,3 minutes,https://ikman.lk/en/ad/samsung-galaxy-a06-4gb-64gb02-brand-new-for-sale-colombo-2,2026-02-21 10:16:20
15616,Samsung Galaxy A26 5G 6gb 128gb (Brand New),57990,LKR,Colombo,Brand New,Samsung,3 minutes,https://ikman.lk/en/ad/samsung-galaxy-a26-5g-6gb-128gb-brand-new-for-sale-colombo-87,2026-02-21 10:16:20
15617,Apple iPhone 7 Plus (Used),17000,LKR,Gampaha,Used,Apple,3 minutes,https://ikman.lk/en/ad/apple-iphone-7-plus-used-for-sale-gampaha-8967,2026-02-21 10:16:20
15618,Apple iPhone 14 Pro (Used),176500,LKR,Kandy,Used,Apple,3 minutes,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-kandy-421,2026-02-21 10:16:20
15619,Samsung Galaxy A15 5G (Used),33500,LKR,Jaffna,Used,Samsung,3 minutes,https://ikman.lk/en/ad/samsung-galaxy-a15-5g-used-for-sale-jaffna-24,2026-02-21 10:16:20
15620,Samsung Galaxy S25 Plus 12GB 256GB (Brand New),236000,LKR,Colombo,Brand New,Samsung,3 minutes,https://ikman.lk/en/ad/samsung-galaxy-s25-plus-12gb-256gb-brand-new-for-sale-colombo-91,2026-02-21 10:16:20
15621,Apple iPhone 15 Pro 256GB (Used),204999,LKR,Colombo,Used,Apple,4 minutes,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-used-for-sale-colombo-1822,2026-02-21 10:16:20
15622,Apple iPhone 14 Pro (Used),176500,LKR,Kandy,Used,Apple,5 minutes,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-kandy-419,2026-02-21 10:16:20
15623,Apple iPhone 13 128GB SAMEIMEI PINK (Used),98999,LKR,Colombo,Used,Apple,5 minutes,https://ikman.lk/en/ad/apple-iphone-13-128gb-sameimei-pink-used-for-sale-colombo-4,2026-02-21 10:16:20
15624,Xiaomi Redmi Note 14 256GB (Used),40000,LKR,Colombo,Used,Xiaomi,5 minutes,https://ikman.lk/en/ad/xiaomi-redmi-note-14-2025-used-for-sale-colombo-1,2026-02-21 10:16:20
15625,Samsung Galaxy S22+ 5G Snapdragon Purple (Used),99990,LKR,Colombo,Used,Samsung,6 minutes,https://ikman.lk/en/ad/samsung-galaxy-s22-5g-snapdragon-purple-used-for-sale-colombo-62,2026-02-21 10:16:20
15626,Samsung Galaxy M17 5G 6gb 128gb (Brand New),49990,LKR,Colombo,Brand New,Samsung,6 minutes,https://ikman.lk/en/ad/samsung-galaxy-m17-5g-6gb-128gb-brand-new-for-sale-colombo-24,2026-02-21 10:16:20
15627,Samsung Galaxy S25 FE 8GB 256GB (Brand New),154990,LKR,Colombo,Brand New,Samsung,6 minutes,https://ikman.lk/en/ad/samsung-galaxy-s25-fe-8gb-256gb-brand-new-for-sale-colombo-312,2026-02-21 10:16:20
15628,Xiaomi Redmi 9A 128GB (Used),14500,LKR,Kurunegala,Used,Xiaomi,6 minutes,https://ikman.lk/en/ad/xiaomi-redmi-9a-128gb-used-for-sale-kurunegala,2026-02-21 10:16:20
15629,OnePlus 11R 256GB 16GB RAM 5G (Brand New),69000,LKR,Colombo,Brand New,OnePlus,N/A,https://ikman.lk/en/ad/oneplus-11r-256gb-16gb-ram-5g-brand-new-for-sale-colombo,2026-02-21 10:16:23
15630,Apple iPhone 17 256gb (Brand New),285000,LKR,Vavuniya,Brand New,Apple,N/A,https://ikman.lk/en/ad/apple-iphone-17-256gb-brand-new-for-sale-vavuniya-2,2026-02-21 10:16:23
15631,Apple iPhone 17 Pro Max 256GB (Used),410900,LKR,Gampaha,Used,Apple,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-256gb-used-for-sale-gampaha-10,2026-02-21 10:16:23
15632,Apple iPhone 15 Pro 128GB (Used),190000,LKR,Colombo,Used,Apple,17 minutes,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-used-for-sale-colombo-1515,2026-02-21 10:16:23
15633,Apple iPhone SE 3 128GB 5G (Used),32000,LKR,Kalutara,Used,Apple,18 minutes,https://ikman.lk/en/ad/apple-iphone-se-3-128gb-5g-used-for-sale-kalutara,2026-02-21 10:16:23
15634,Apple iPhone 16 Pro Max 256GB (Used),289000,LKR,Colombo,Used,Apple,19 minutes,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-natural-used-for-sale-colombo-12,2026-02-21 10:16:23
15635,Samsung Galaxy M01s 3GB 32GB (Used),11500,LKR,Colombo,Used,Samsung,19 minutes,https://ikman.lk/en/ad/samsung-galaxy-m01s-3gb-32gb-used-for-sale-colombo-1,2026-02-21 10:16:23
15636,Apple iPhone 12 Pro (Used),94990,LKR,Kurunegala,Used,Apple,1 hour,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-kurunegala-1268,2026-02-21 10:16:23
15637,Apple iPhone 16 Pro Max 256GB (Used),284990,LKR,Kurunegala,Used,Apple,1 hour,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-kurunegala-80,2026-02-21 10:16:23
15638,Apple iPhone 15 Pro Max 256GB (Used),244990,LKR,Kurunegala,Used,Apple,1 hour,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-kurunegala-223,2026-02-21 10:16:23
15639,Apple iPhone 12 128GB (Used),78990,LKR,Kurunegala,Used,Apple,1 hour,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-kurunegala-688,2026-02-21 10:16:23
15640,Apple iPhone XR Red (Used),48000,LKR,Kandy,Used,Apple,1 hour,https://ikman.lk/en/ad/apple-iphone-xr-product-red-used-for-sale-kandy,2026-02-21 10:16:23
15641,Apple iPhone XR (Used),22000,LKR,Kalutara,Used,Apple,1 hour,https://ikman.lk/en/ad/apple-iphone-xr-64-gb-used-for-sale-kalutara-55,2026-02-21 10:16:23
15642,Apple iPhone 15 Pro 256GB (Used),214990,LKR,Kurunegala,Used,Apple,1 hour,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-used-for-sale-kurunegala-120,2026-02-21 10:16:23
15643,Apple iPhone 12 Pro Max (Used),113000,LKR,Gampaha,Used,Apple,1 hour,https://ikman.lk/en/ad/apple-iphone-12-pro-max-used-for-sale-gampaha-1937,2026-02-21 10:16:23
15644,Apple iPhone 12 Pro Max (Used),113000,LKR,Puttalam,Used,Apple,1 hour,https://ikman.lk/en/ad/apple-iphone-12-pro-max-used-for-sale-puttalam-434,2026-02-21 10:16:23
15645,Apple iPhone 12 Pro Max 256GB (Used),113000,LKR,Kurunegala,Used,Apple,1 hour,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-kurunegala-641,2026-02-21 10:16:23
15646,Power Bank,10500,LKR,Gampaha,Unknown,Other,2 hours,https://ikman.lk/en/ad/power-bank-for-sale-gampaha-824,2026-02-21 10:16:23
15647,Xiaomi Redmi A3 128GB (Used),18500,LKR,Colombo,Used,Xiaomi,2 hours,https://ikman.lk/en/ad/xiaomi-redmi-a3-128gb-used-for-sale-colombo-9,2026-02-21 10:16:23
15648,Apple iPhone 12 Pro 256GB (Used),98500,LKR,Kurunegala,Used,Apple,2 hours,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-kurunegala-854,2026-02-21 10:16:23
15649,Apple iPhone 12 128GB (Used),80000,LKR,Puttalam,Used,Apple,2 hours,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-puttalam-188,2026-02-21 10:16:23
15650,Apple iPhone 14 128GB (Used),120000,LKR,Puttalam,Used,Apple,2 hours,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-puttalam-46,2026-02-21 10:16:23
15651,Apple iPhone 12 Pro Max 256GB (Used),126500,LKR,Puttalam,Used,Apple,2 hours,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-puttalam-320,2026-02-21 10:16:23
15652,Apple iPhone 12 Pro Max 256GB (Used),126500,LKR,Puttalam,Used,Apple,2 hours,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-puttalam-319,2026-02-21 10:16:23
15653,Apple iPhone 17 Pro 256GB (Used),338000,LKR,Kegalle,Used,Apple,2 hours,https://ikman.lk/en/ad/apple-iphone-17-pro-256gb-j-a-used-for-sale-kegalle,2026-02-21 10:16:23
15654,Apple iPhone 13 128GB (Used),88500,LKR,Kegalle,Used,Apple,2 hours,https://ikman.lk/en/ad/apple-iphone-13-128gb-blue-used-for-sale-kegalle,2026-02-21 10:16:23
15655,Apple iPhone 14 Pro Max 512GB 5G (Used),166000,LKR,Colombo,Used,Apple,2 hours,https://ikman.lk/en/ad/apple-iphone-14-pro-max-512gb-5g-used-for-sale-colombo-2,2026-02-21 10:16:23
15656,Samsung Galaxy S24 Ultra 12GB 256GB (Used),186500,LKR,Kegalle,Used,Samsung,2 hours,https://ikman.lk/en/ad/samsung-galaxy-s24-ultra-12gb-256gb-used-for-sale-kegalle,2026-02-21 10:16:23
15657,Google Pixel 9 128GB (Brand New),155890,LKR,Colombo,Brand New,Google,N/A,https://ikman.lk/en/ad/google-pixel-9-128gb-brand-new-for-sale-colombo-303,2026-02-21 10:16:25
15658,Xiaomi Redmi Note 14 (Brand New),57500,LKR,Colombo,Brand New,Xiaomi,N/A,https://ikman.lk/en/ad/xiaomi-redmi-note-14-brand-new-for-sale-colombo-100,2026-02-21 10:16:25
15659,Apple iPhone 12 Pro 512GB (Used),84999,LKR,Kalutara,Used,Apple,,https://ikman.lk/en/ad/apple-iphone-12-pro-512gb-used-for-sale-kalutara-70,2026-02-21 10:16:25
15660,Apple iPhone 15 Pro 128GB (Used),190000,LKR,Colombo,Used,Apple,18 minutes,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-used-for-sale-colombo-1515,2026-02-21 10:16:25
15661,Apple iPhone SE 3 128GB 5G (Used),32000,LKR,Kalutara,Used,Apple,18 minutes,https://ikman.lk/en/ad/apple-iphone-se-3-128gb-5g-used-for-sale-kalutara,2026-02-21 10:16:25
15662,Apple iPhone 16 Pro Max 256GB (Used),289000,LKR,Colombo,Used,Apple,19 minutes,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-natural-used-for-sale-colombo-12,2026-02-21 10:16:25
15663,Samsung Galaxy M01s 3GB 32GB (Used),11500,LKR,Colombo,Used,Samsung,19 minutes,https://ikman.lk/en/ad/samsung-galaxy-m01s-3gb-32gb-used-for-sale-colombo-1,2026-02-21 10:16:25
