id,title,price,currency,location,condition,brand,date_posted,url,scraped_at
11101,Xiaomi Redmi Note 15 128/256GB 108MP (Brand New),23600,LKR,Colombo,Brand New,Xiaomi,N/A,https://ikman.lk/en/ad/xiaomi-redmi-note-15-128-256gb-108mp-brand-new-for-sale-colombo,2026-02-21 03:08:45
11102,Apple iPhone 13 Pro 256GB USA (Used),124999,LKR,Gampaha,Used,Apple,N/A,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-usa-used-for-sale-gampaha-92,2026-02-21 03:08:45
11103,Apple iPhone 12 128GB (Used),84999,LKR,Colombo,Used,Apple,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-colombo-9704,2026-02-21 03:08:45
11104,Apple iPhone XR 128GB (Used),54999,LKR,Colombo,Used,Apple,6 days,https://ikman.lk/en/ad/apple-iphone-xr-128gb-used-for-sale-colombo-3514,2026-02-21 03:08:45
11105,Apple iPhone 13 Pro 1TB (Used),143000,LKR,Gampaha,Used,Apple,6 days,https://ikman.lk/en/ad/apple-iphone-13-pro-1tb-used-for-sale-gampaha-3,2026-02-21 03:08:45
11106,Vivo Y20 (Used),15500,LKR,Gampaha,Used,Vivo,6 days,https://ikman.lk/en/ad/vivo-y20-used-for-sale-gampaha-389,2026-02-21 03:08:45
11107,Apple iPhone XS 256GB (Used),46000,LKR,Gampaha,Used,Apple,6 days,https://ikman.lk/en/ad/apple-iphone-xs-256gb-used-for-sale-gampaha-8322,2026-02-21 03:08:45
11108,Tecno Spark 6 Go (Used),7000,LKR,Matara,Used,Tecno,6 days,https://ikman.lk/en/ad/tecno-spark-6-go-used-for-sale-matara-11,2026-02-21 03:08:45
11109,Apple iPhone 13 (Used),90000,LKR,Polonnaruwa,Used,Apple,6 days,https://ikman.lk/en/ad/apple-iphone-13-used-for-sale-polonnaruwa-65,2026-02-21 03:08:45
11110,Apple iPhone 14 Pro (Used),165000,LKR,Kandy,Used,Apple,6 days,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-kandy-413,2026-02-21 03:08:45
11111,Apple iPhone 15 (Used),127500,LKR,Galle,Used,Apple,6 days,https://ikman.lk/en/ad/apple-iphone-15-128gb-used-for-sale-galle-93,2026-02-21 03:08:45
11112,Apple iPhone X (Used),47000,LKR,Colombo,Used,Apple,6 days,https://ikman.lk/en/ad/apple-iphone-x-used-for-sale-colombo-9395,2026-02-21 03:08:45
