id,title,price,currency,location,condition,brand,date_posted,url,scraped_at
2901,Apple iPhone X (Used),38000,LKR,Colombo,Used,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-x-used-for-sale-colombo-9408,2026-02-21 02:43:10
2902,Apple iPhone 15 Pro Max (Used),290000,LKR,Jaffna,Used,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-15-pro-max-brand-new-for-sale-jaffna-2,2026-02-21 02:43:10
2903,Apple iPhone XS (Used),45000,LKR,Kandy,Used,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-xs-used-for-sale-kandy-2514,2026-02-21 02:43:10
2904,Xiaomi Redmi A3 (Used),22000,LKR,Galle,Used,Xiaomi,1 day,https://ikman.lk/en/ad/xiaomi-redmi-a3-mi-used-for-sale-galle,2026-02-21 02:43:10
2905,Vivo Y93 128GB (Used),8999,LKR,Colombo,Used,Vivo,1 day,https://ikman.lk/en/ad/vivo-y93-128gb-used-for-sale-colombo-223,2026-02-21 02:43:10
2906,Apple iPhone 11 Pro Max 256GB (Used),67500,LKR,Gampaha,Used,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-11-pro-max-256gb-used-for-sale-gampaha-3482,2026-02-21 02:43:10
2907,Apple iPhone 13 Pro 128GB (Used),115000,LKR,Gampaha,Used,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-13-pro-128gb-used-for-sale-gampaha-1571,2026-02-21 02:43:10
2908,Apple iPhone 15 Pro (Used),195000,LKR,Matara,Used,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-15-pro-used-for-sale-matara-54,2026-02-21 02:43:10
2909,Samsung Galaxy A06 (Used),27000,LKR,Gampaha,Used,Samsung,1 day,https://ikman.lk/en/ad/samsung-galaxy-a06-used-for-sale-gampaha-179,2026-02-21 02:43:10
2910,Apple iPhone 11 Pro Midnight Green (Used),70000,LKR,Kurunegala,Used,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-11-pro-midnight-green-used-for-sale-kurunegala,2026-02-21 02:43:10
2911,Apple iPhone 11 Pro 256GB (Used),79000,LKR,Kandy,Used,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-kandy-1482,2026-02-21 02:43:10
2912,Vivo Y93 128GB (Used),8999,LKR,Colombo,Used,Vivo,1 day,https://ikman.lk/en/ad/vivo-y93-128gb-used-for-sale-colombo-222,2026-02-21 02:43:10
2913,Apple iPhone 11 128GB (Used),60000,LKR,Colombo,Used,Apple,N/A,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-colombo-18578,2026-02-21 02:43:14
2914,Samsung Galaxy S23 Ultra 512GB 12GB RAM 5G (Used),95000,LKR,Colombo,Used,Samsung,N/A,https://ikman.lk/en/ad/samsung-galaxy-s23-ultra-512gb-12gb-ram-5g-used-for-sale-colombo-3,2026-02-21 02:43:14
2915,Honor X7D 8GB 256GB (Brand New),56400,LKR,Gampaha,Brand New,Honor,,https://ikman.lk/en/ad/honor-x7d-8gb-256gb-brand-new-for-sale-gampaha,2026-02-21 02:43:14
2916,Apple iPhone SE 2 128GB (Used),39000,LKR,Kandy,Used,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-se-2-128gb-used-for-sale-kandy-531,2026-02-21 02:43:14
2917,Apple iPhone 11 128GB (Used),65000,LKR,Kandy,Used,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-kandy-2276,2026-02-21 02:43:14
2918,Moto Edge 60 Fusion (Used),58500,LKR,Trincomalee,Used,Other,1 day,https://ikman.lk/en/ad/moto-edge-60-fusion-used-for-sale-trincomalee-4,2026-02-21 02:43:14
2919,Apple iPhone 12 128GB (Used),78000,LKR,Kandy,Used,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-kandy-1022,2026-02-21 02:43:14
2920,Apple iPhone 17 256GB (Brand New),282000,LKR,Kandy,Brand New,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-17-256gb-brand-new-for-sale-kandy,2026-02-21 02:43:14
2921,Samsung Galaxy A56 (Used),85000,LKR,Colombo,Used,Samsung,1 day,https://ikman.lk/en/ad/samsung-galaxy-a56-used-for-sale-colombo-24,2026-02-21 02:43:14
2922,Apple iPhone 11 128GB black (Used),57990,LKR,Colombo,Used,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-11-128gb-black-used-for-sale-colombo-527,2026-02-21 02:43:14
2923,Apple iPhone 17 Pro Max 256GB NEW (Brand New),418000,LKR,Colombo,Brand New,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-17-pro-max-256gb-new-brand-new-for-sale-colombo-12,2026-02-21 02:43:14
2924,Apple iPhone 13 (Used),80000,LKR,Batticaloa,Used,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-13-used-for-sale-batticaloa-309,2026-02-21 02:43:14
2925,Apple iPhone 14 128GB [ZP/A] (Used),124999,LKR,Colombo,Used,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-14-128gb-zp-a-used-for-sale-colombo-117,2026-02-21 02:43:14
