id,title,price,currency,location,condition,brand,date_posted,url,scraped_at
16401,Apple iPhone 7 Plus (Used),17000,LKR,Gampaha,Used,Apple,5 minutes,https://ikman.lk/en/ad/apple-iphone-7-plus-used-for-sale-gampaha-8967,2026-02-21 10:17:46
16402,Apple iPhone 14 Pro (Used),176500,LKR,Kandy,Used,Apple,5 minutes,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-kandy-421,2026-02-21 10:17:46
16403,Samsung Galaxy A15 5G (Used),33500,LKR,Jaffna,Used,Samsung,5 minutes,https://ikman.lk/en/ad/samsung-galaxy-a15-5g-used-for-sale-jaffna-24,2026-02-21 10:17:46
16404,Samsung Galaxy S25 Plus 12GB 256GB (Brand New),236000,LKR,Colombo,Brand New,Samsung,5 minutes,https://ikman.lk/en/ad/samsung-galaxy-s25-plus-12gb-256gb-brand-new-for-sale-colombo-91,2026-02-21 10:17:46
16405,Apple iPhone 15 Pro 256GB (Used),204999,LKR,Colombo,Used,Apple,6 minutes,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-used-for-sale-colombo-1822,2026-02-21 10:17:46
16406,Apple iPhone 14 Pro (Used),176500,LKR,Kandy,Used,Apple,6 minutes,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-kandy-419,2026-02-21 10:17:46
16407,Apple iPhone 13 128GB SAMEIMEI PINK (Used),98999,LKR,Colombo,Used,Apple,7 minutes,https://ikman.lk/en/ad/apple-iphone-13-128gb-sameimei-pink-used-for-sale-colombo-4,2026-02-21 10:17:46
16408,Xiaomi Redmi Note 14 256GB (Used),40000,LKR,Colombo,Used,Xiaomi,7 minutes,https://ikman.lk/en/ad/xiaomi-redmi-note-14-2025-used-for-sale-colombo-1,2026-02-21 10:17:46
16409,Samsung Galaxy S22+ 5G Snapdragon Purple (Used),99990,LKR,Colombo,Used,Samsung,7 minutes,https://ikman.lk/en/ad/samsung-galaxy-s22-5g-snapdragon-purple-used-for-sale-colombo-62,2026-02-21 10:17:46
16410,Samsung Galaxy M17 5G 6gb 128gb (Brand New),49990,LKR,Colombo,Brand New,Samsung,7 minutes,https://ikman.lk/en/ad/samsung-galaxy-m17-5g-6gb-128gb-brand-new-for-sale-colombo-24,2026-02-21 10:17:46
16411,Samsung Galaxy S25 FE 8GB 256GB (Brand New),154990,LKR,Colombo,Brand New,Samsung,7 minutes,https://ikman.lk/en/ad/samsung-galaxy-s25-fe-8gb-256gb-brand-new-for-sale-colombo-312,2026-02-21 10:17:46
16412,Xiaomi Redmi 9A 128GB (Used),14500,LKR,Kurunegala,Used,Xiaomi,7 minutes,https://ikman.lk/en/ad/xiaomi-redmi-9a-128gb-used-for-sale-kurunegala,2026-02-21 10:17:46
16413,Apple iPhone 11 Pro 64GB (Used),64990,LKR,Colombo,Used,Apple,N/A,https://ikman.lk/en/ad/apple-iphone-11-pro-64gb-used-for-sale-colombo-2277,2026-02-21 10:17:50
16414,Samsung Galaxy A55 256GB 12GB RAM 5G (Brand New),55000,LKR,Colombo,Brand New,Samsung,N/A,https://ikman.lk/en/ad/samsung-galaxy-a55-256gb-12gb-ram-5g-brand-new-for-sale-colombo-2,2026-02-21 10:17:50
16415,Apple iPhone 12 Pro 512GB (Used),84999,LKR,Kalutara,Used,Apple,,https://ikman.lk/en/ad/apple-iphone-12-pro-512gb-used-for-sale-kalutara-70,2026-02-21 10:17:50
16416,Apple iPhone 15 Plus 128GB (Used),159900,LKR,Kandy,Used,Apple,2 minutes,https://ikman.lk/en/ad/apple-iphone-15-plus-128gb-used-for-sale-kandy-68,2026-02-21 10:17:50
16417,HMD Pulse Pro (Used),48000,LKR,Ratnapura,Used,Other,2 minutes,https://ikman.lk/en/ad/nokia-14-hmd-used-for-sale-ratnapura,2026-02-21 10:17:50
16418,Samsung Galaxy F07 4GB/64GB|02 (Brand New),29490,LKR,Colombo,Brand New,Samsung,3 minutes,https://ikman.lk/en/ad/samsung-galaxy-f07-4gb-64gb02-brand-new-for-sale-colombo,2026-02-21 10:17:50
16419,Apple iPhone 12 Pro 256GB (Used),90000,LKR,Gampaha,Used,Apple,3 minutes,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-gampaha-8869,2026-02-21 10:17:50
16420,Apple iPhone 7 (Used),10000,LKR,Monaragala,Used,Apple,3 minutes,https://ikman.lk/en/ad/apple-iphone-7-0757259191-used-for-sale-monaragala,2026-02-21 10:17:50
16421,Realme 6i 6GB 128GB (Used),8000,LKR,Gampaha,Used,Realme,3 minutes,https://ikman.lk/en/ad/realme-6i-6gb-128gb-used-for-sale-gampaha,2026-02-21 10:17:50
16422,Huawei P60 PRO 12/256GB (Used),125000,LKR,Colombo,Used,Huawei,3 minutes,https://ikman.lk/en/ad/huawei-p60-pro-12-256gb-used-for-sale-colombo-2,2026-02-21 10:17:50
16423,Apple iPhone 14 Pro (Used),176500,LKR,Kandy,Used,Apple,3 minutes,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-kandy-422,2026-02-21 10:17:50
16424,Apple iPhone 15 15/128GB. (Used),154999,LKR,Colombo,Used,Apple,4 minutes,https://ikman.lk/en/ad/apple-iphone-15-15-128gb-used-for-sale-colombo-48,2026-02-21 10:17:50
16425,Apple iPhone 11 Pro Max 256 GB (Used),45000,LKR,Gampaha,Used,Apple,4 minutes,https://ikman.lk/en/ad/apple-iphone-11-pro-max-256-gb-used-for-sale-gampaha-235,2026-02-21 10:17:50
16426,Apple iPhone 12 Pro 256GB (Used),102000,LKR,Galle,Used,Apple,4 minutes,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-galle-381,2026-02-21 10:17:50
16427,Samsung Galaxy A06 4GB/64GB|02 (Brand New),29490,LKR,Colombo,Brand New,Samsung,4 minutes,https://ikman.lk/en/ad/samsung-galaxy-a06-4gb-64gb02-brand-new-for-sale-colombo-2,2026-02-21 10:17:50
16428,Samsung Galaxy A26 5G 6gb 128gb (Brand New),57990,LKR,Colombo,Brand New,Samsung,4 minutes,https://ikman.lk/en/ad/samsung-galaxy-a26-5g-6gb-128gb-brand-new-for-sale-colombo-87,2026-02-21 10:17:50
16429,Apple iPhone 7 Plus (Used),17000,LKR,Gampaha,Used,Apple,5 minutes,https://ikman.lk/en/ad/apple-iphone-7-plus-used-for-sale-gampaha-8967,2026-02-21 10:17:50
16430,Apple iPhone 14 Pro (Used),176500,LKR,Kandy,Used,Apple,5 minutes,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-kandy-421,2026-02-21 10:17:50
16431,Samsung Galaxy A15 5G (Used),33500,LKR,Jaffna,Used,Samsung,5 minutes,https://ikman.lk/en/ad/samsung-galaxy-a15-5g-used-for-sale-jaffna-24,2026-02-21 10:17:50
16432,Samsung Galaxy S25 Plus 12GB 256GB (Brand New),236000,LKR,Colombo,Brand New,Samsung,5 minutes,https://ikman.lk/en/ad/samsung-galaxy-s25-plus-12gb-256gb-brand-new-for-sale-colombo-91,2026-02-21 10:17:50
16433,Apple iPhone 15 Pro 256GB (Used),204999,LKR,Colombo,Used,Apple,6 minutes,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-used-for-sale-colombo-1822,2026-02-21 10:17:50
16434,Apple iPhone 14 Pro (Used),176500,LKR,Kandy,Used,Apple,7 minutes,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-kandy-419,2026-02-21 10:17:50
16435,Apple iPhone 13 128GB SAMEIMEI PINK (Used),98999,LKR,Colombo,Used,Apple,7 minutes,https://ikman.lk/en/ad/apple-iphone-13-128gb-sameimei-pink-used-for-sale-colombo-4,2026-02-21 10:17:50
16436,Xiaomi Redmi Note 14 256GB (Used),40000,LKR,Colombo,Used,Xiaomi,7 minutes,https://ikman.lk/en/ad/xiaomi-redmi-note-14-2025-used-for-sale-colombo-1,2026-02-21 10:17:50
16437,Samsung Galaxy S22+ 5G Snapdragon Purple (Used),99990,LKR,Colombo,Used,Samsung,7 minutes,https://ikman.lk/en/ad/samsung-galaxy-s22-5g-snapdragon-purple-used-for-sale-colombo-62,2026-02-21 10:17:50
16438,Samsung Galaxy M17 5G 6gb 128gb (Brand New),49990,LKR,Colombo,Brand New,Samsung,7 minutes,https://ikman.lk/en/ad/samsung-galaxy-m17-5g-6gb-128gb-brand-new-for-sale-colombo-24,2026-02-21 10:17:50
16439,Samsung Galaxy S25 FE 8GB 256GB (Brand New),154990,LKR,Colombo,Brand New,Samsung,7 minutes,https://ikman.lk/en/ad/samsung-galaxy-s25-fe-8gb-256gb-brand-new-for-sale-colombo-312,2026-02-21 10:17:50
16440,Xiaomi Redmi 9A 128GB (Used),14500,LKR,Kurunegala,Used,Xiaomi,7 minutes,https://ikman.lk/en/ad/xiaomi-redmi-9a-128gb-used-for-sale-kurunegala,2026-02-21 10:17:50
16441,Anker Soundcore R60i NC,9800,LKR,Colombo,Unknown,Other,N/A,https://ikman.lk/en/ad/anker-soundcore-r60i-nc-for-sale-colombo,2026-02-21 10:17:53
16442,Oppo A31 8GB 256GB (Used),13999,LKR,Colombo,Used,Oppo,N/A,https://ikman.lk/en/ad/oppo-a31-8gb-256gb-used-for-sale-colombo-2045,2026-02-21 10:17:53
16443,Apple iPhone 17 Pro Max 256GB (Used),410900,LKR,Gampaha,Used,Apple,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-256gb-used-for-sale-gampaha-10,2026-02-21 10:17:53
16444,Apple iPhone 15 Pro 128GB (Used),190000,LKR,Colombo,Used,Apple,19 minutes,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-used-for-sale-colombo-1515,2026-02-21 10:17:53
16445,Apple iPhone SE 3 128GB 5G (Used),32000,LKR,Kalutara,Used,Apple,20 minutes,https://ikman.lk/en/ad/apple-iphone-se-3-128gb-5g-used-for-sale-kalutara,2026-02-21 10:17:53
16446,Apple iPhone 16 Pro Max 256GB (Used),289000,LKR,Colombo,Used,Apple,20 minutes,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-natural-used-for-sale-colombo-12,2026-02-21 10:17:53
16447,Samsung Galaxy M01s 3GB 32GB (Used),11500,LKR,Colombo,Used,Samsung,21 minutes,https://ikman.lk/en/ad/samsung-galaxy-m01s-3gb-32gb-used-for-sale-colombo-1,2026-02-21 10:17:53
