id,title,price,currency,location,condition,brand,date_posted,url,scraped_at
1901,Apple iPhone 11 (Used),65000,LKR,Gampaha,Used,Apple,16 hours,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-gampaha-4082,2026-02-21 02:41:02
1902,Honor X7b (Used),28500,LKR,Galle,Used,Honor,16 hours,https://ikman.lk/en/ad/honor-x7b-used-for-sale-galle-101,2026-02-21 02:41:02
1903,Apple iPhone 14 Pro (Used),150000,LKR,Matale,Used,Apple,16 hours,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-matale-37,2026-02-21 02:41:02
1904,Xiaomi Redmi A5 (Brand New),28900,LKR,Colombo,Brand New,Xiaomi,16 hours,https://ikman.lk/en/ad/xiaomi-redmi-a5-brand-new-for-sale-colombo-88,2026-02-21 02:41:02
1905,Infinix Hot 60 Pro+ 256GB 8GBRam 50MP (Brand New),26000,LKR,Colombo,Brand New,Infinix,N/A,https://ikman.lk/en/ad/infinix-hot-60-pro-256gb-8gbram-50mp-brand-new-for-sale-colombo-11,2026-02-21 02:41:06
1906,Samsung Galaxy S24 Ultra 256GB 12GB RAM 5G (Used),140000,LKR,Colombo,Used,Samsung,N/A,https://ikman.lk/en/ad/samsung-galaxy-s24-ultra-256gb-12gb-ram-5g-used-for-sale-colombo-5,2026-02-21 02:41:06
1907,Vivo Y17 8GB/256GB_~~ (Used),11990,LKR,Colombo,Used,Vivo,,https://ikman.lk/en/ad/vivo-y17-8gb-256gb-used-for-sale-colombo-4285,2026-02-21 02:41:06
1908,Samsung Galaxy S25 Ultra 12GB 512GB (Brand New),324900,LKR,Colombo,Brand New,Samsung,16 hours,https://ikman.lk/en/ad/samsung-galaxy-s25-ultra-12gb-512gb-brand-new-for-sale-colombo-137,2026-02-21 02:41:06
1909,Apple iPhone SE 2 128GB (Used),42900,LKR,Gampaha,Used,Apple,16 hours,https://ikman.lk/en/ad/apple-iphone-se-2-128gb-used-for-sale-gampaha-5796,2026-02-21 02:41:06
1910,Apple iPhone 8 (Used),26000,LKR,Ratnapura,Used,Apple,16 hours,https://ikman.lk/en/ad/apple-iphone-8-used-for-sale-ratnapura-811,2026-02-21 02:41:06
1911,Apple iPhone 16 5G 256GB full (Used),197000,LKR,Colombo,Used,Apple,16 hours,https://ikman.lk/en/ad/apple-iphone-16-5g-256gb-full-used-for-sale-colombo,2026-02-21 02:41:06
1912,Apple iPhone 13 Pro 5G (Used),118000,LKR,Colombo,Used,Apple,16 hours,https://ikman.lk/en/ad/apple-iphone-13-pro-5g-used-for-sale-colombo-22,2026-02-21 02:41:06
