id,title,price,currency,location,condition,brand,date_posted,url,scraped_at
3501,Apple iPhone 17 Pro Max 256GB (Brand New),444990,LKR,Vavuniya,Brand New,Apple,N/A,https://ikman.lk/en/ad/apple-iphone-17-pro-max-256gb-brand-new-for-sale-vavuniya,2026-02-21 02:44:32
3502,Samsung Galaxy S7 Edge 64GB 3GB RAM BLACK (Brand New),25000,LKR,Colombo,Brand New,Samsung,N/A,https://ikman.lk/en/ad/samsung-galaxy-s7-edge-64gb-3gb-ram-black-brand-new-for-sale-colombo,2026-02-21 02:44:32
3503,Tecno Spark 30C 5G 4/128GB (Brand New),31500,LKR,Gampaha,Brand New,Tecno,,https://ikman.lk/en/ad/tecno-spark-30c-5g-4-128gb-brand-new-for-sale-gampaha-1,2026-02-21 02:44:32
3504,Colmi V73 Smartwatch Amoled,4990,LKR,Gampaha,Unknown,Other,2 days,https://ikman.lk/en/ad/colmi-v73-smartwatch-amoled-for-sale-gampaha-14,2026-02-21 02:44:32
3505,Apple iPhone 16 128GB (Used),198000,LKR,Colombo,Used,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-16-128gb-used-for-sale-colombo-1049,2026-02-21 02:44:32
3506,Apple iPhone 14 Pro Max 128GB (Used),176999,LKR,Colombo,Used,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-14-pro-max-128gb-used-for-sale-colombo-2013,2026-02-21 02:44:32
3507,Apple iPhone 14 Pro Max 128GB (Used),176999,LKR,Colombo,Used,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-14-pro-max-128gb-used-for-sale-colombo-2014,2026-02-21 02:44:32
3508,Xiaomi Note 15 Pro 256GB (Brand New),110000,LKR,Colombo,Brand New,Xiaomi,2 days,https://ikman.lk/en/ad/xiaomi-note-15-pro-256gb-brand-new-for-sale-colombo-2,2026-02-21 02:44:32
3509,Samsung Galaxy A16 4G (Brand New),51699,LKR,Colombo,Brand New,Samsung,2 days,https://ikman.lk/en/ad/samsung-galaxy-a16-4g-brand-new-for-sale-colombo,2026-02-21 02:44:32
3510,Apple iPhone 11 128 GB (Used),54000,LKR,Hambantota,Used,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-11-128-gb-used-for-sale-hambantota-2,2026-02-21 02:44:32
3511,Xiaomi Redmi A5 4GB 128GB (Brand New),27990,LKR,Gampaha,Brand New,Xiaomi,2 days,https://ikman.lk/en/ad/xiaomi-redmi-a5-4gb-128gb-brand-new-for-sale-gampaha-18,2026-02-21 02:44:32
3512,Oppo A31 8GB 256GB (Used),14998,LKR,Kalutara,Used,Oppo,2 days,https://ikman.lk/en/ad/oppo-a31-8gb-256gb-used-for-sale-kalutara-290,2026-02-21 02:44:32
3513,Infinix Note 50 8GB 256GB (Brand New),73480,LKR,Gampaha,Brand New,Infinix,2 days,https://ikman.lk/en/ad/infinix-note-50-8gb-256gb-brand-new-for-sale-gampaha-6,2026-02-21 02:44:32
