id,title,price,currency,location,condition,brand,date_posted,url,scraped_at
3301,Apple iPhone 12 Pro Max 256GB (Used),124500,LKR,Colombo,Used,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-colombo-7854,2026-02-21 02:44:01
3302,Samsung Galaxy A04e 4GB 32GB (Used),12000,LKR,Galle,Used,Samsung,1 day,https://ikman.lk/en/ad/samsung-galaxy-a04e-4gb-32gb-used-for-sale-galle,2026-02-21 02:44:01
3303,Samsung Galaxy A33 (Used),32500,LKR,Trincomalee,Used,Samsung,1 day,https://ikman.lk/en/ad/samsung-galaxy-a33-5g-used-for-sale-trincomalee-2,2026-02-21 02:44:01
3304,Oppo A31 (Used),14000,LKR,Colombo,Used,Oppo,1 day,https://ikman.lk/en/ad/oppo-a31-no-any-errors-used-for-sale-colombo,2026-02-21 02:44:01
3305,Apple iPhone 15 Plus 128GB (Used),158000,LKR,Kurunegala,Used,Apple,N/A,https://ikman.lk/en/ad/apple-iphone-15-plus-128gb-used-for-sale-kurunegala-7,2026-02-21 02:44:04
3306,Google Pixel 6 8GB 128GB (Used),44990,LKR,Colombo,Used,Google,N/A,https://ikman.lk/en/ad/google-pixel-6-8gb-128gb-used-for-sale-colombo-880,2026-02-21 02:44:04
3307,Apple iPhone 15 Pro Max 256GB Full set box (Used),230900,LKR,Gampaha,Used,Apple,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-full-set-box-used-for-sale-gampaha,2026-02-21 02:44:04
3308,Samsung Galaxy A03 Core (Used),13000,LKR,Kurunegala,Used,Samsung,1 day,https://ikman.lk/en/ad/samsung-galaxy-a03-core-used-for-sale-kurunegala-97,2026-02-21 02:44:04
3309,Apple iPhone 8 (Used),25000,LKR,Kandy,Used,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-8-used-used-for-sale-kandy-1,2026-02-21 02:44:04
3310,Apple iPhone 12 Pro 256GB (Used),87500,LKR,Ampara,Used,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-12-pro-256-used-for-sale-ampara-19,2026-02-21 02:44:04
3311,Apple iPhone 12 Pro 256GB (Used),96500,LKR,Anuradhapura,Used,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-12-pro-256-gb-used-for-sale-anuradhapura-78,2026-02-21 02:44:04
3312,Apple iPhone 16 128GB (Used),185000,LKR,Colombo,Used,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-16-128gb-used-for-sale-colombo-1051,2026-02-21 02:44:04
3313,Apple iPhone 16 Pro Max 256GB (Used),264500,LKR,Colombo,Used,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-colombo-2408,2026-02-21 02:44:04
3314,Apple iPhone 13 (Used),105000,LKR,Gampaha,Used,Apple,1 day,https://ikman.lk/en/ad/apple-iphone-13-used-for-sale-gampaha-1398,2026-02-21 02:44:04
3315,Xiaomi Redmi Note 13 (Used),32000,LKR,Ampara,Used,Xiaomi,1 day,https://ikman.lk/en/ad/xiaomi-redmi-note-13-used-for-sale-ampara-66,2026-02-21 02:44:04
3316,Infinix Hot 60 Pro+ (Brand New),74699,LKR,Colombo,Brand New,Infinix,1 day,https://ikman.lk/en/ad/infinix-hot-60-pro-brand-new-for-sale-colombo-35,2026-02-21 02:44:04
