id,title,price,currency,location,condition,brand,date_posted,url,scraped_at
4101,Xiaomi Redmi Note 14 8gb 256gb 4g (Brand New),47500,LKR,Colombo,Brand New,Xiaomi,2 days,https://ikman.lk/en/ad/xiaomi-redmi-note-14-8gb-256gb-4g-brand-new-for-sale-colombo-19,2026-02-21 02:45:48
4102,Vivo Y11 8GB 256GB (Used),13999,LKR,Kalutara,Used,Vivo,2 days,https://ikman.lk/en/ad/vivo-y11-8gb-256gb-used-for-sale-kalutara-32,2026-02-21 02:45:48
4103,Apple iPhone 15 Pro Max (Used),275000,LKR,Jaffna,Used,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-15-pro-max-brand-new-for-sale-jaffna-1,2026-02-21 02:45:48
4104,Samsung Galaxy M17 5G 8GB 128GB (Brand New),55990,LKR,Colombo,Brand New,Samsung,2 days,https://ikman.lk/en/ad/samsung-galaxy-m17-5g-8gb-128gb-brand-new-for-sale-colombo-7,2026-02-21 02:45:48
4105,Vivo Y85 4GB +64GB (Used),10499,LKR,Colombo,Used,Vivo,2 days,https://ikman.lk/en/ad/vivo-y85-4gb-64gb-used-for-sale-colombo-115,2026-02-21 02:45:48
4106,Honor X5b Plus |4GB|128GB (Brand New),29990,LKR,Colombo,Brand New,Honor,2 days,https://ikman.lk/en/ad/honor-x5b-plus-4gb128gb-brand-new-for-sale-colombo-14,2026-02-21 02:45:48
4107,Apple iPhone 15 128GB (Brand New),174890,LKR,Colombo,Brand New,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-15-128gb-brand-new-for-sale-colombo-940,2026-02-21 02:45:48
4108,Xiaomi Redmi A5 4gb 128gb (Brand New),28000,LKR,Colombo,Brand New,Xiaomi,2 days,https://ikman.lk/en/ad/xiaomi-redmi-a5-4gb-128gb-brand-new-for-sale-colombo-152,2026-02-21 02:45:48
4109,Vivo Y11 8GB / 256GB (Used),13998,LKR,Kalutara,Used,Vivo,2 days,https://ikman.lk/en/ad/vivo-y11-8gb-256gb-used-for-sale-kalutara-31,2026-02-21 02:45:48
4110,Vivo Y85 4GB 64GB (Used),10498,LKR,Kalutara,Used,Vivo,2 days,https://ikman.lk/en/ad/vivo-y85-4gb-64gb-used-for-sale-kalutara-161,2026-02-21 02:45:48
4111,Xiaomi Redmi A5 3gb 64gb (Brand New),25000,LKR,Colombo,Brand New,Xiaomi,2 days,https://ikman.lk/en/ad/xiaomi-redmi-a5-3gb-64gb-brand-new-for-sale-colombo-61,2026-02-21 02:45:48
4112,Apple iPhone 12 Pro 128GB (Used),30000,LKR,Kurunegala,Used,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-12-pro-12pro-used-for-sale-kurunegala-17,2026-02-21 02:45:48
4113,Boat Rockerz 551 ANC Wireless Headphones,17490,LKR,Colombo,Unknown,Other,2 days,https://ikman.lk/en/ad/boat-rockerz-551-anc-wireless-headphones-for-sale-colombo-28,2026-02-21 02:45:48
