id,title,price,currency,location,condition,brand,date_posted,url,scraped_at
4601,Honor X9D 5G 12/256 (Brand New),47600,LKR,Batticaloa,Brand New,Honor,2 days,https://ikman.lk/en/ad/honor-x9d-5g-12-256-brand-new-for-sale-batticaloa,2026-02-21 02:46:53
4602,Honor X9D 5G 12/256 (Brand New),47600,LKR,Ampara,Brand New,Honor,2 days,https://ikman.lk/en/ad/honor-x9d-5g-12-256-brand-new-for-sale-ampara-1,2026-02-21 02:46:53
4603,Xiaomi Redmi Note 8 64GB (Used),16500,LKR,Ratnapura,Used,Xiaomi,2 days,https://ikman.lk/en/ad/xiaomi-redmi-note-8-64gb-used-for-sale-ratnapura,2026-02-21 02:46:53
4604,Honor X9D 5G 12/256 (Brand New),47600,LKR,Ampara,Brand New,Honor,2 days,https://ikman.lk/en/ad/honor-x9d-5g-12-256-brand-new-for-sale-ampara,2026-02-21 02:46:53
4605,Honor X9D 5G 12/256 (Brand New),47600,LKR,Trincomalee,Brand New,Honor,2 days,https://ikman.lk/en/ad/honor-x9d-5g-12-256-brand-new-for-sale-trincomalee,2026-02-21 02:46:53
4606,Apple iPhone 17 Pro Max (Brand New),407000,LKR,Trincomalee,Brand New,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-17-pro-max-brand-new-for-sale-trincomalee,2026-02-21 02:46:53
4607,Apple iPhone 11 Pro Max (Used),100000,LKR,Colombo,Used,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-11-pro-max-used-for-sale-colombo-2860,2026-02-21 02:46:53
4608,Apple iPhone 14 128GB (Used),119990,LKR,Colombo,Used,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-colombo-5927,2026-02-21 02:46:53
4609,Apple iPhone 11 Pro Max (Used),100000,LKR,Colombo,Used,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-11-pro-max-used-for-sale-colombo-2859,2026-02-21 02:46:53
4610,Vivo V50 5G 12/256 (Used),98000,LKR,Trincomalee,Used,Vivo,2 days,https://ikman.lk/en/ad/vivo-v50-5g-12-256-used-for-sale-trincomalee,2026-02-21 02:46:53
4611,Apple iPhone 15 Pro Max 256GB (Used),239990,LKR,Colombo,Used,Apple,2 days,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-colombo-5824,2026-02-21 02:46:53
