id,title,price,currency,location,condition,brand,date_posted,url,scraped_at
201,Samsung Galaxy M11 4GB RAM 32GB (Used),12500,LKR,Puttalam,Used,Samsung,1 hour,https://ikman.lk/en/ad/samsung-galaxy-m11-4gb-ram-32gb-used-for-sale-puttalam-3,2026-02-21 02:37:24
202,Apple iPhone 17 Pro 512GB (Brand New),435000,LKR,Colombo,Brand New,Apple,1 hour,https://ikman.lk/en/ad/apple-iphone-17-pro-512gb-brand-new-for-sale-colombo-58,2026-02-21 02:37:24
203,Apple iPhone 14 128GB (Used),119999,LKR,Gampaha,Used,Apple,1 hour,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-gampaha-2070,2026-02-21 02:37:24
204,Vivo T4 (Used),49900,LKR,Colombo,Used,Vivo,1 hour,https://ikman.lk/en/ad/vivo-t4-used-for-sale-colombo,2026-02-21 02:37:24
205,Apple iPhone 16 Plus 128GB (Brand New),245000,LKR,Colombo,Brand New,Apple,1 hour,https://ikman.lk/en/ad/apple-iphone-16-plus-128gb-brand-new-for-sale-colombo-209,2026-02-21 02:37:24
206,Samsung Galaxy A56 12GB|256GB (Brand New),110000,LKR,Colombo,Brand New,Samsung,1 hour,https://ikman.lk/en/ad/samsung-galaxy-a56-12gb256gb-brand-new-for-sale-colombo-99,2026-02-21 02:37:24
207,HK10 Pro Max Smart Watch - Gold,7800,LKR,Colombo,Unknown,Other,1 hour,https://ikman.lk/en/ad/hk10-pro-max-smart-watch-gold-for-sale-colombo-4,2026-02-21 02:37:24
208,Apple iPhone 16 128GB (Brand New),221000,LKR,Colombo,Brand New,Apple,1 hour,https://ikman.lk/en/ad/apple-iphone-16-128gb-brand-new-for-sale-colombo-966,2026-02-21 02:37:24
209,HONOR CHOICE Watch 2i Amoled GPS 10M Waterproof (Singer War),12750,LKR,Gampaha,Unknown,Honor,1 hour,https://ikman.lk/en/ad/honor-choice-watch-2i-amoled-gps-10m-waterproof-singer-war-for-sale-gampaha,2026-02-21 02:37:24
210,Apple iPhone 15 128GB (Brand New),185000,LKR,Colombo,Brand New,Apple,1 hour,https://ikman.lk/en/ad/apple-iphone-15-128gb-brand-new-for-sale-colombo-962,2026-02-21 02:37:24
211,ZTE V80 Pro 8/256GB (Brand New),49500,LKR,Gampaha,Brand New,ZTE,1 hour,https://ikman.lk/en/ad/zte-v80-pro-8-256gb-brand-new-for-sale-gampaha,2026-02-21 02:37:24
212,Google Pixel 7 5G 8GB RAM 128GB (Used),69990,LKR,Kegalle,Used,Google,1 hour,https://ikman.lk/en/ad/google-pixel-7-5g-8gb-ram-128gb-used-for-sale-kegalle-1,2026-02-21 02:37:24
213,Google Pixel 6 5G 8GB RAM 128GB (New),69990,LKR,Kegalle,Unknown,Google,1 hour,https://ikman.lk/en/ad/google-pixel-6-5g-8gb-ram-128gb-new-for-sale-kegalle,2026-02-21 02:37:24
214,Apple iPhone 15 256GB (Brand New),221000,LKR,Colombo,Brand New,Apple,1 hour,https://ikman.lk/en/ad/apple-iphone-15-256gb-brand-new-for-sale-colombo-272,2026-02-21 02:37:24
215,Apple iPhone 14 Pro 256GB (Used),179500,LKR,Gampaha,Used,Apple,1 hour,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-used-for-sale-gampaha-2372,2026-02-21 02:37:24
216,Xiaomi Redmi 15C (Brand New),52499,LKR,Colombo,Brand New,Xiaomi,1 hour,https://ikman.lk/en/ad/xiaomi-redmi-15c-brand-new-for-sale-colombo-151,2026-02-21 02:37:24
217,Honor X6b 6GB RAM 128GB (Used),24000,LKR,Puttalam,Used,Honor,1 hour,https://ikman.lk/en/ad/honor-x6b-6gb-ram-128gb-used-for-sale-puttalam-1,2026-02-21 02:37:24
