id,title,price,currency,location,condition,brand,date_posted,url,scraped_at
11801,Anker Soundcore Liberty 5 Earbuds With Noise Cancellation 2025,18990,LKR,Colombo,Unknown,Other,N/A,https://ikman.lk/en/ad/anker-soundcore-liberty-5-earbuds-with-noise-cancellation-2025-for-sale-colombo-10,2026-02-21 03:10:09
11802,Apple iPhone 16 Pro Max (Brand New),375000,LKR,Kandy,Brand New,Apple,N/A,https://ikman.lk/en/ad/apple-iphone-16-pro-max-brand-new-for-sale-kandy-2,2026-02-21 03:10:09
11803,Samsung Galaxy S23 256GB (Brand New),114990,LKR,Kandy,Brand New,Samsung,,https://ikman.lk/en/ad/samsung-galaxy-s23-256gb-brand-new-for-sale-kandy-13,2026-02-21 03:10:09
11804,Apple iPhone 12 Pro (Used),94990,LKR,Kurunegala,Used,Apple,39 minutes,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-kurunegala-1268,2026-02-21 03:10:09
11805,Apple iPhone 16 Pro Max 256GB (Used),284990,LKR,Kurunegala,Used,Apple,39 minutes,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-kurunegala-80,2026-02-21 03:10:09
11806,Apple iPhone 15 Pro Max 256GB (Used),244990,LKR,Kurunegala,Used,Apple,39 minutes,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-kurunegala-223,2026-02-21 03:10:09
11807,Apple iPhone 12 128GB (Used),78990,LKR,Kurunegala,Used,Apple,40 minutes,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-kurunegala-688,2026-02-21 03:10:09
11808,Apple iPhone XR Red (Used),48000,LKR,Kandy,Used,Apple,41 minutes,https://ikman.lk/en/ad/apple-iphone-xr-product-red-used-for-sale-kandy,2026-02-21 03:10:09
11809,Apple iPhone XR (Used),22000,LKR,Kalutara,Used,Apple,41 minutes,https://ikman.lk/en/ad/apple-iphone-xr-64-gb-used-for-sale-kalutara-55,2026-02-21 03:10:09
11810,Apple iPhone 15 Pro 256GB (Used),214990,LKR,Kurunegala,Used,Apple,1 hour,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-used-for-sale-kurunegala-120,2026-02-21 03:10:09
11811,Apple iPhone 12 Pro Max (Used),113000,LKR,Gampaha,Used,Apple,1 hour,https://ikman.lk/en/ad/apple-iphone-12-pro-max-used-for-sale-gampaha-1937,2026-02-21 03:10:09
11812,Apple iPhone 12 Pro Max (Used),113000,LKR,Puttalam,Used,Apple,1 hour,https://ikman.lk/en/ad/apple-iphone-12-pro-max-used-for-sale-puttalam-434,2026-02-21 03:10:09
11813,Apple iPhone 12 Pro Max 256GB (Used),113000,LKR,Kurunegala,Used,Apple,1 hour,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-kurunegala-641,2026-02-21 03:10:09
11814,Power Bank,10500,LKR,Gampaha,Unknown,Other,1 hour,https://ikman.lk/en/ad/power-bank-for-sale-gampaha-824,2026-02-21 03:10:09
