id,title,price,currency,location,condition,brand,date_posted,url,scraped_at
1101,Apple iPhone 14 Pro Max 256GB (Used),170000,LKR,Colombo,Used,Apple,13 hours,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256-gb-used-for-sale-colombo-407,2026-02-21 02:39:20
1102,Apple iPhone 16 (Used),200000,LKR,Gampaha,Used,Apple,13 hours,https://ikman.lk/en/ad/apple-iphone-16-used-for-sale-gampaha-67,2026-02-21 02:39:20
1103,Huawei Y9 (Used),9500,LKR,Colombo,Used,Huawei,13 hours,https://ikman.lk/en/ad/huawei-y9-used-for-sale-colombo-1580,2026-02-21 02:39:20
1104,Apple iPhone 11 Pro (Used),82000,LKR,Monaragala,Used,Apple,13 hours,https://ikman.lk/en/ad/apple-iphone-11-pro-used-for-sale-monaragala-113,2026-02-21 02:39:20
1105,Apple iPhone XS (Used),45000,LKR,Colombo,Used,Apple,13 hours,https://ikman.lk/en/ad/apple-iphone-xs-used-for-sale-colombo-4567,2026-02-21 02:39:20
1106,Apple iPhone 13 Pro Max (Used),130000,LKR,Kurunegala,Used,Apple,13 hours,https://ikman.lk/en/ad/apple-iphone-13-pro-max-used-for-sale-kurunegala-566,2026-02-21 02:39:20
1107,Apple iPhone 11 (Used),55000,LKR,Colombo,Used,Apple,13 hours,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-colombo-8189,2026-02-21 02:39:20
1108,Google Pixel 7 Pro (Used),83500,LKR,Kurunegala,Used,Google,13 hours,https://ikman.lk/en/ad/google-pixel-7-pro-12gb-ram-used-for-sale-kurunegala-1,2026-02-21 02:39:20
1109,Apple iPhone 15 Pro (Used),195000,LKR,Trincomalee,Used,Apple,13 hours,https://ikman.lk/en/ad/apple-iphone-15-pro-used-for-sale-trincomalee-84,2026-02-21 02:39:20
1110,Apple iPhone 14 128GB (Brand New),161999,LKR,Colombo,Brand New,Apple,13 hours,https://ikman.lk/en/ad/apple-iphone-14-128gb-brand-new-for-sale-colombo-715,2026-02-21 02:39:20
1111,Samsung Galaxy S25 Ultra 12GB 256GB (Brand New),274800,LKR,Colombo,Brand New,Samsung,13 hours,https://ikman.lk/en/ad/samsung-galaxy-s25-ultra-12gb-256gb-brand-new-for-sale-colombo-448,2026-02-21 02:39:20
1112,Vivo Y93 6GB 128GB (Used),5000,LKR,Gampaha,Used,Vivo,13 hours,https://ikman.lk/en/ad/vivo-y93-6gb-128gb-used-for-sale-gampaha-577,2026-02-21 02:39:20
1113,Xiaomi Redmi 7 (Used),17000,LKR,Trincomalee,Used,Xiaomi,13 hours,https://ikman.lk/en/ad/used-for-sale-trincomalee-199,2026-02-21 02:39:20
1114,WIRELESS EARBUDS ASPOR A629,5900,LKR,Colombo,Unknown,Other,13 hours,https://ikman.lk/en/ad/wireless-earbuds-aspor-a629-for-sale-colombo-2,2026-02-21 02:39:20
1115,Apple iPhone 16 Pro 128GB (Brand New),319900,LKR,Gampaha,Brand New,Apple,13 hours,https://ikman.lk/en/ad/apple-iphone-16-pro-128gb-brand-new-for-sale-gampaha,2026-02-21 02:39:20
1116,Vivo Y93 (Used),11200,LKR,Matara,Used,Vivo,13 hours,https://ikman.lk/en/ad/vivo-y93-orginal-used-for-sale-matara,2026-02-21 02:39:20
1117,Google Pixel 9 128GB (Used),135000,LKR,Colombo,Used,Google,13 hours,https://ikman.lk/en/ad/google-pixel-9-128gb-used-for-sale-colombo-87,2026-02-21 02:39:20
1118,Apple iPhone 14 128GB (Used),123900,LKR,Gampaha,Used,Apple,13 hours,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-gampaha-2069,2026-02-21 02:39:20
1119,Apple iPhone 16 128GB (Used),185000,LKR,Colombo,Used,Apple,13 hours,https://ikman.lk/en/ad/apple-iphone-16-128gb-used-for-sale-colombo-1054,2026-02-21 02:39:20
1120,Samsung Galaxy A32 4GB - 64 GB (Used),27000,LKR,Matara,Used,Samsung,13 hours,https://ikman.lk/en/ad/samsung-galaxy-a32-4gb-64-gb-used-for-sale-matara,2026-02-21 02:39:20
1121,Apple iPhone 11 64GB (Used),54990,LKR,Colombo,Used,Apple,N/A,https://ikman.lk/en/ad/apple-iphone-11-64gb-used-for-sale-colombo-5840,2026-02-21 02:39:25
1122,Sony Xperia 1 II 8GB 128GB (Used),31990,LKR,Colombo,Used,Sony,N/A,https://ikman.lk/en/ad/sony-xperia-1-ii-8gb-128gb-used-for-sale-colombo-319,2026-02-21 02:39:25
1123,Tecno Spark 30C 5G 4/128GB (Brand New),31500,LKR,Gampaha,Brand New,Tecno,,https://ikman.lk/en/ad/tecno-spark-30c-5g-4-128gb-brand-new-for-sale-gampaha-1,2026-02-21 02:39:25
1124,Apple iPhone 13 256GB (Used),115900,LKR,Gampaha,Used,Apple,13 hours,https://ikman.lk/en/ad/apple-iphone-13-256gb-used-for-sale-gampaha-856,2026-02-21 02:39:25
1125,Google Pixel 7 Pro 12GB 128GB (Used),89900,LKR,Gampaha,Used,Google,13 hours,https://ikman.lk/en/ad/google-pixel-7-pro-12gb-128gb-used-for-sale-gampaha-143,2026-02-21 02:39:25
1126,Oppo Reno 8 5G (Used),60000,LKR,Puttalam,Used,Oppo,13 hours,https://ikman.lk/en/ad/oppo-reno-8-5g-used-for-sale-puttalam,2026-02-21 02:39:25
1127,Apple iPhone 7 Plus 256GB (Used),24000,LKR,Batticaloa,Used,Apple,13 hours,https://ikman.lk/en/ad/apple-iphone-7-plus-256-used-for-sale-batticaloa-1,2026-02-21 02:39:25
1128,Samsung Galaxy S24 FE 8GB 128GB 5G (Used),99900,LKR,Gampaha,Used,Samsung,13 hours,https://ikman.lk/en/ad/samsung-galaxy-s24-fe-8gb-128gb-5g-used-for-sale-gampaha-2,2026-02-21 02:39:25
1129,Apple iPhone 15 (Used),151000,LKR,Jaffna,Used,Apple,13 hours,https://ikman.lk/en/ad/apple-iphone-15-used-for-sale-jaffna-69,2026-02-21 02:39:25
1130,Samsung Galaxy A2 Core For Parts,2500,LKR,Kurunegala,Unknown,Samsung,13 hours,https://ikman.lk/en/ad/samsung-galaxy-a2-core-2024-used-for-sale-kurunegala-1,2026-02-21 02:39:25
1131,Samsung B310E Used (Used),1500,LKR,Kurunegala,Used,Samsung,13 hours,https://ikman.lk/en/ad/samsung-b310e-used-used-for-sale-kurunegala-1,2026-02-21 02:39:25
1132,Apple iPhone 16 128GB (Brand New),229000,LKR,Colombo,Brand New,Apple,13 hours,https://ikman.lk/en/ad/apple-iphone-16-128gb-brand-new-for-sale-colombo-963,2026-02-21 02:39:25
1133,Xiaomi 12C 4GB/128GB (Used),23000,LKR,Colombo,Used,Xiaomi,13 hours,https://ikman.lk/en/ad/xiaomi-12c-4gb-128gb-used-for-sale-colombo-65,2026-02-21 02:39:25
1134,Apple iPhone 13 mini 5G- cinematic (Used),85000,LKR,Colombo,Used,Apple,13 hours,https://ikman.lk/en/ad/apple-iphone-13-mini-5g-cinematic-used-for-sale-colombo-258,2026-02-21 02:39:25
1135,Apple iPhone 14 Pro (Used),168000,LKR,Colombo,Used,Apple,13 hours,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-colombo-1537,2026-02-21 02:39:25
1136,Vivo Y17 (Used),11900,LKR,Colombo,Used,Vivo,13 hours,https://ikman.lk/en/ad/vivo-y17-used-for-sale-colombo-347,2026-02-21 02:39:25
1137,Apple iPhone 13 Pro Max 256GB (Used),150000,LKR,Nuwara Eliya,Used,Apple,13 hours,https://ikman.lk/en/ad/apple-iphone-13-pro-max-256gb-used-for-sale-nuwara-eliya-26,2026-02-21 02:39:25
1138,Apple iPhone 11 Full Set Box (Used),67000,LKR,Colombo,Used,Apple,13 hours,https://ikman.lk/en/ad/apple-iphone-11-full-set-box-used-for-sale-colombo-920,2026-02-21 02:39:25
1139,Xiaomi Redmi 10C 4+3GB/128GB (Used),25000,LKR,Colombo,Used,Xiaomi,13 hours,https://ikman.lk/en/ad/xiaomi-redmi-10c-43gb-128gb-used-for-sale-colombo-1,2026-02-21 02:39:25
1140,Apple iPhone 15 Plus 128GB (Used),163000,LKR,Colombo,Used,Apple,13 hours,https://ikman.lk/en/ad/apple-iphone-15-plus-128gb-used-for-sale-colombo-561,2026-02-21 02:39:25
1141,Samsung Galaxy S24 Ultra 256GB KH (Used),195000,LKR,Matara,Used,Samsung,13 hours,https://ikman.lk/en/ad/samsung-galaxy-s24-ultra-256gb-kh-used-for-sale-matara,2026-02-21 02:39:25
1142,Samsung Galaxy S24 Ultra 512 GB KH/A (Used),205000,LKR,Matara,Used,Samsung,13 hours,https://ikman.lk/en/ad/samsung-galaxy-s24-ultra-512-gb-kh-a-used-for-sale-matara,2026-02-21 02:39:25
1143,Xiaomi Redmi A3 3GB/64GB (Used),19000,LKR,Colombo,Used,Xiaomi,13 hours,https://ikman.lk/en/ad/xiaomi-redmi-a3-3gb-64gb-used-for-sale-colombo-45,2026-02-21 02:39:25
